# Meteor showers included in a NASA meteoroid Environment Office meteor shower forecast for near-Earth space||||||||||||||||||||
#    |    |                                 |  [  | -   | -   |Radiant| - | -    | -   | -  |  ]  |  [   |-      |Activity|-| ]   |    |     |      |
# IAU|IAU |Shower                           |Sol  |Sol  |Sol  |RA   |dRA  |Dec   |dDec |Vg  |dVg  |Year  |Sol    |ZHR |Bp   |Bm   |r   |Ref. |Assoc.|Bin
# No |Code|Name                             |beg  |max  |end  |     |     |      |     |    |     |      |peak   |peak|rise |down |    |Ht.  |radius|params
   18|AND |Andromedids                      |215  |239  |252  | 24.3| 0.20| 39.2 | 0.75|16.4|-0.12|annual|239    | 100|0.2  |0.2  |2.5 | 91.0|   3.3|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}}
#  20|COM |Comae Berenicids                 |253  |263  |290  |156.8| 0.90| 32.7 |-0.43|62.7| 0.00|annual|263    | 100|0.2  |0.2  |2.5 |103.5|   3.0|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  184|GDR |July gamma Draconids             |122  |125.5|128  |280.0|-0.18| 50.8 | 0.01|27.5| 0.02|annual|125.5  | 100|0.2  |0.2  |2.5 | 90.8|   3.0|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}}
  191|ERI |eta Eridanids                    |118  |137  |145  | 43.5| 0.85|-12.4 | 0.28|64.0|-0.02|annual|137    | 100|0.2  |0.2  |2.5 |105.8|   3.6|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}}
# 250|NOO |November Orionids                |233  |245  |250  | 89.0| 0.79| 15.6 |-0.03|42.5|-0.06|annual|245    | 100|0.2  |0.2  |2.5 | 94.8|   3.0|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  24, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':  24, 'max_bin_duration': 48}}
  281|OCT |October Camelopardalids          |191  |192.5|194  |167.6| 1.19| 78.6 |-0.85|45.7| 0.00|annual|192.5  | 100|0.2  |0.2  |2.5 |101.9|   3.0|{'all_years': {'min_tap':   50, 'min_meteors':  35, 'min_bin_duration': 0.5, 'max_bin_duration': 12}, 'yearly': {'min_tap':  30, 'min_meteors':  20, 'min_bin_duration': 0.5, 'max_bin_duration': 12}}
# 331|AHY |alpha Hydrids                    |278  |285  |290  |127.5| 0.68| -8.2 |-0.23|43.0|-0.17|annual|285    | 100|0.2  |0.2  |2.5 | 97.8|   3.0|{'all_years': {'min_tap':  200, 'min_meteors': 100, 'min_bin_duration':  12, 'max_bin_duration': 48}, 'yearly': {'min_tap': 100, 'min_meteors':  50, 'min_bin_duration':  12, 'max_bin_duration': 48}}
# Outbursts
   18|oAND2021|Andromedids                  |233  |245.9|250  | 25.5| 0.07| 44.6 | 0.85|15.7|-0.08|2021  |245.9  | 100|0.2  |0.2  |2.5 | 91.7|   3.0|{'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':   2, 'max_bin_duration': 48}}
  451|oCAM2022|Camelopardalids              | 60  | 63.5| 65  |118.4| 9.99| 76.4 | 2.16|15.0| 0.00|2022  | 63.5  | 100|0.2  |0.2  |2.9 | 86.8|   3.0|{'yearly': {'min_tap': 100, 'min_meteors':  20, 'min_bin_duration':   1, 'max_bin_duration': 12}}
   61|oTAH2022|tau Herculids                | 66.7| 69.4| 71  |208.6| 2.83| 27.7 | 4.86|11.4| 0.33|2022  | 69.4  | 100|0.2  |0.2  |2.51| 88.0|   4.5|{'yearly': {'min_tap': 100, 'min_meteors':  50, 'min_bin_duration': 0.5, 'max_bin_duration': 12}}
  170|oJBO2022|June Bootids                 | 88  | 92.4| 99  |221.0| 0.00| 50.2 | 0.71|14.0|-0.09|2022  | 92.4  | 100|0.2  |0.2  |2.5 | 85.9|   3.0|{'yearly': {'min_tap':  20, 'min_meteors':  50, 'min_bin_duration':   4, 'max_bin_duration': 24}}
  199|oADC2022|August delta Capricornids    |143  |143.7|144.5|325.1| 0.84|-11.5 | 0.60|24.0| 0.08|2022  |143.7  | 100|0.2  |0.2  |2.5 | 91.2|   3.0|{'yearly': {'min_tap': 100, 'min_meteors': 200, 'min_bin_duration':   2, 'max_bin_duration': 24}}
   18|oAND2023|Andromedids                  |245  |250  |255  | 29.0| 0.07| 47.0 | 0.85|16.0|-0.08|2023  |250.0  | 100|0.2  |0.2  |2.5 | 91.7|   5.0|{'yearly': {'min_tap': 100, 'min_meteors': 100, 'min_bin_duration':   2, 'max_bin_duration': 48}}
 9999|oWir2023|Wirtanenids                  |259.5|259.8|260.5|  7.5| 0.00|-38.8 | 0.00|10.2| 0.00|2023  |259.8  |   5|0.2  |0.2  |3.0 | 84.5|   3.0|{'yearly': {'min_tap':  15, 'min_meteors':  10, 'min_bin_duration':   1, 'max_bin_duration': 24}}
# An outburst in a certain year can be defined as e.g.:
#   9|oDRA2011|Draconids 2011 Outburst      |192.2|195  |197.1|262.9| 0.34| 55.7|-0.05|20.7| 0.00|2011  |195.438|200 |7.225|0    |2.5 | -1  |   3.0|
