333.75,37.73,337.5,43.11
337.5,43.11,337.25,47.7
337.75,50.26,337.25,47.7
337.25,47.7,336.0,49.46
336.0,49.46,335.75,52.21
335.75,52.21,337.75,50.26
177.25,14.56,168.5,15.41
168.5,20.51,168.5,15.41
168.5,15.41,152.0,11.96
152.0,11.96,151.75,16.75
151.75,16.75,154.75,19.83
154.75,19.83,168.5,20.51
154.75,19.83,154.0,23.41
168.5,20.51,177.25,14.56
154.0,23.41,148.0,26.0
148.0,26.0,146.25,23.76
91.5,-14.93,89.0,-14.16
89.0,-14.16,86.5,-14.81
86.5,-14.81,83.0,-17.81
83.0,-17.81,78.0,-16.2
76.25,-22.36,78.0,-16.2
83.0,-17.81,87.75,-20.86
83.0,-17.81,82.0,-20.75
86.0,-22.43,82.0,-20.75
87.75,-20.86,86.0,-22.43
82.0,-20.75,76.25,-22.36
78.0,-16.2,79.75,-13.16
78.0,-16.2,78.25,-12.93
78.25,-12.93,78.0,-11.86
79.75,-13.16,79.75,-12.3
238.25,-16.71,233.75,-14.78
226.0,-25.26,233.75,-14.78
233.75,-14.78,229.25,-9.36
229.25,-9.36,222.5,-16.03
222.5,-16.03,226.0,-25.26
163.25,34.2,156.75,36.7
156.75,36.7,151.75,35.23
151.75,35.23,143.5,36.38
151.75,35.23,163.25,34.2
237.5,-33.61,241.75,-36.75
241.75,-36.75,240.0,-38.38
240.0,-38.38,237.5,-33.61
240.0,-38.38,233.75,-41.16
233.75,-41.16,230.25,-40.63
233.75,-41.16,234.5,-42.56
230.25,-40.63,230.25,-36.25
230.25,-40.63,224.5,-43.13
220.25,-47.38,224.5,-43.13
234.5,-42.56,228.0,-52.08
228.0,-52.08,220.25,-47.38
228.0,-52.08,219.25,-49.41
220.25,-47.38,216.5,-45.36
140.25,34.38,139.5,36.8
139.5,36.8,136.5,38.45
136.5,38.45,135.0,41.78
135.0,41.78,125.5,43.18
125.5,43.18,111.5,49.2
111.5,49.2,104.25,58.41
104.25,58.41,94.75,59.0
279.0,38.76,281.0,37.6
283.5,36.88,281.0,37.6
281.0,37.6,282.5,33.35
282.5,33.35,284.5,32.68
284.5,32.68,283.5,36.88
82.75,-76.33,70.75,-70.91
319.25,-32.16,315.25,-32.25
315.25,-32.25,312.25,-33.76
93.5,-6.26,97.0,-7.01
97.0,-7.01,107.75,-0.48
107.75,-0.48,95.75,4.58
107.75,-0.48,122.0,-2.98
95.75,4.58,92.0,2.48
122.0,-2.98,115.25,-9.55
191.5,-68.1,176.25,-66.71
176.25,-66.71,188.0,-72.11
188.0,-72.11,189.25,-69.13
189.25,-69.13,191.5,-68.1
243.25,-54.61,244.75,-50.15
240.75,-49.21,244.75,-50.15
244.75,-50.15,246.75,-47.55
246.75,-47.55,240.75,-49.21
240.75,-49.21,243.25,-54.61
325.25,-77.38,341.5,-81.36
341.5,-81.36,216.5,-83.66
216.5,-83.66,325.25,-77.38
263.5,12.55,265.75,4.56
257.5,-15.71,265.75,4.56
263.5,12.55,254.25,9.36
257.5,-15.71,262.75,-23.95
254.25,9.36,244.5,-4.68
244.5,-4.68,249.25,-10.56
249.25,-10.56,257.5,-15.71
85.0,-1.93,84.0,-1.2
85.0,-1.93,86.75,-9.66
84.0,-1.2,83.0,-0.28
78.5,-8.2,83.0,-0.28
90.75,19.68,92.75,14.2
92.75,14.2,91.75,14.76
92.75,14.2,90.5,9.63
91.75,14.76,90.5,9.63
91.75,14.76,88.5,20.26
90.5,9.63,88.75,7.4
83.75,9.93,88.75,7.4
88.75,7.4,85.0,-1.93
86.75,-9.66,78.5,-8.2
83.0,-0.28,81.25,6.33
81.25,6.33,83.75,9.93
81.25,6.33,72.25,6.95
72.25,6.95,72.75,5.6
72.25,6.95,72.5,8.9
72.75,5.6,73.25,2.5
73.25,2.5,74.5,1.7
72.5,8.9,73.5,10.15
306.25,-56.73,321.5,-65.36
321.5,-65.36,311.0,-66.2
311.0,-66.2,302.0,-66.16
284.0,-67.23,302.0,-66.16
302.0,-66.16,306.25,-56.73
302.0,-66.16,300.0,-72.9
300.0,-72.9,280.75,-71.41
280.75,-71.41,284.0,-67.23
284.0,-67.23,283.0,-62.18
272.0,-63.66,283.0,-62.18
283.0,-62.18,275.75,-61.48
275.75,-61.48,272.0,-63.66
272.0,-63.66,266.25,-64.71
3.25,15.18,346.0,15.2
345.75,28.06,346.0,15.2
345.75,28.06,340.75,30.21
345.75,28.06,342.5,24.6
340.75,30.21,332.25,33.16
342.5,24.6,341.5,23.55
341.5,23.55,331.75,25.33
331.75,25.33,326.0,25.63
346.0,15.2,341.5,12.16
341.5,12.16,340.25,10.81
340.25,10.81,332.5,6.18
332.5,6.18,326.0,9.86
56.0,32.28,58.5,31.88
58.5,31.88,59.5,35.78
59.5,35.78,59.25,40.0
59.25,40.0,55.5,47.78
55.5,47.78,51.0,49.85
51.0,49.85,46.0,53.5
51.0,49.85,47.0,40.95
